subject,wave,phase,valid_session,valid_fullface,emotion,duration,fullface_pct,session_pct
28,9,I,3632.659,57.633999999999986,anger,0,0,0
29,6,I,3405.236,39.848,anger,0,0,0
30,6,I,4089.7169999999996,73.41499999999998,anger,0,0,0
30,9,I,3671.1569999999997,11.594000000000001,anger,0,0,0
31,6,I,3659.9,229.47200000000007,anger,0,0,0
31,9,I,3557.991,76.95000000000005,anger,0,0,0
32,6,I,3628.043,169.9029999999999,anger,0,0,0
32,9,I,3639.3610000000003,65.184,anger,0,0,0
33,6,I,3722.996,331.418,anger,0,0,0
34,6,I,3679.479,4.997999999999999,anger,0,0,0
34,9,I,3527.8459999999995,26.555,anger,0,0,0
35,6,I,3616.891,66.849,anger,0,0,0
35,9,I,3682.44,91.67800000000003,anger,0,0,0
36,6,I,3637.3549999999996,149.94400000000002,anger,0,0,0
36,9,I,3501.04,19.415,anger,0,0,0
37,6,I,3595.044,50.118,anger,0,0,0
37,9,I,3526.086,80.11300000000004,anger,0,0,0
38,6,I,3550.0119999999997,52.023999999999994,anger,0,0,0
39,6,I,3683.569,15.782000000000002,anger,0,0,0
39,9,I,3648.278,20.031,anger,0,0,0
40,6,I,3589.391,32.43800000000001,anger,0,0,0
40,9,I,3910.643,95.85699999999997,anger,0,0,0
41,6,I,3715.4260000000004,86.81000000000002,anger,0,0,0
41,9,I,3398.482,240.57299999999998,anger,0,0,0
42,6,I,3708.903,184.191,anger,0,0,0
42,9,I,3390.012,216.4119999999998,anger,0,0,0
43,6,I,3418.466,54.07000000000001,anger,0,0,0
43,9,I,3680.8450000000003,337.17399999999986,anger,0.7130000000003065,0.0021146351735314905,0.00019370552142247404
44,6,I,3517.447,142.24099999999993,anger,0,0,0
44,9,I,3696.429,127.58499999999998,anger,0.17000000000007276,0.001332445036642809,4.599033283205839e-5
45,6,I,3436.013,32.690000000000005,anger,0,0,0
45,9,I,3073.414,46.629000000000026,anger,0,0,0
46,6,I,3855.081,62.26700000000001,anger,0,0,0
46,9,I,3559.7400000000002,74.47999999999992,anger,0,0,0
1,6,I,3458.372,170.93,awe,0,0,0
1,9,I,3278.1730000000002,117.07300000000001,awe,0,0,0
2,6,I,2922.848,74.634,awe,0,0,0
2,9,I,3643.985,85.61500000000001,awe,0,0,0
3,6,I,3770.566,10.777999999999999,awe,0,0,0
3,9,I,3602.953,124.588,awe,0,0,0
4,6,I,3534.788,234.61199999999994,awe,0,0,0
4,9,I,3309.945,74.94199999999998,awe,0,0,0
6,6,I,3298.481,41.583000000000006,awe,0,0,0
6,9,I,3589.831,60.65500000000003,awe,0,0,0
7,6,I,3124.276,36.857000000000006,awe,0,0,0
7,9,I,3527.97,136.07500000000002,awe,0,0,0
8,6,I,3681.826,104.95800000000003,awe,0,0,0
8,9,I,3939.6730000000002,282.5139999999997,awe,0,0,0
9,6,I,3476.333,32.16499999999999,awe,0,0,0
9,9,I,3700.066,103.53800000000003,awe,0,0,0
10,6,I,3885.011,98.464,awe,0,0,0
10,9,I,3925.748,123.9699999999999,awe,0,0,0
11,6,I,3733.1330000000003,85.37499999999999,awe,0,0,0
11,9,I,3593.271,62.649,awe,0,0,0
12,6,I,3575.184,228.52699999999996,awe,0,0,0
12,9,I,3537.758,195.35399999999987,awe,0,0,0
