occ,n_aus,n_events,n_subjects,n_faces,duration,fullface_pct,session_pct,best_dice,best_status,best_match,band
1+2+25+26,4,168,36,56,69.523,0.0073174294870000205,2.3006141110522443e-4,1,complete,surprise,strong (>=0.7)
23,1,127,26,36,60.12,0.0063277456490433565,1.989455580979833e-4,0.5,complete,anger,moderate (0.4-0.7)
4+12,2,76,27,31,58.557,0.006163236892399066,1.9377337068435808e-4,0.6666666666666666,complete,"contentment, happiness, sadness",moderate (0.4-0.7)
4+23,2,69,15,17,54.877,0.005775909813415706,1.8159573173225264e-4,0.8,complete,anger,strong (>=0.7)
15,1,100,32,44,48.851,0.005141661721580456,1.6165484794818e-4,0.6666666666666666,complete,sadness,moderate (0.4-0.7)
1+2+25,3,107,29,43,48.464,0.005100929227133021,1.6037421037359717e-4,0.8571428571428571,complete,"fear, surprise",strong (>=0.7)
14+17,2,85,29,36,46.394,0.004883057745204881,1.5352428846303787e-4,0.5,complete,"contempt, disgust, sadness, shame",moderate (0.4-0.7)
1+2+5+12+25+26,6,83,26,34,45.254,0.00476307055225895,1.4975186770070087e-4,1,partial only,awe,strong (>=0.7)
17+24,2,92,30,36,42.322,0.004454471912155904,1.4004946623125166e-4,0.8,partial only,sympathy,strong (>=0.7)
4+12+25,3,69,22,25,39.522,0.004159766525972913,1.307838713763888e-4,0.8,complete,happiness,strong (>=0.7)
4+24,2,71,23,32,39.485,0.0041558722047983524,1.3066143315866385e-4,0.8,complete,anger,strong (>=0.7)
18+25,2,108,25,36,39.447,0.004151872631700155,1.3053568579991928e-4,0.6666666666666666,partial only,relief,moderate (0.4-0.7)
4+25+26,3,75,29,35,37.071,0.0039017940611391594,1.2267316673736424e-4,0.8,partial only,sympathy,strong (>=0.7)
20+25,2,88,27,33,36.281,0.0038186450414661012,1.2005894533188509e-4,0.8,complete,fear,strong (>=0.7)
5,1,88,27,39,35.713,0.003758861948840409,1.1817935323275578e-4,0.6666666666666666,complete,"fear, surprise",moderate (0.4-0.7)
1+2+12+25,4,80,27,34,35.271,0.0037123405985929514,1.1671671290209529e-4,0.8571428571428571,complete,interest,strong (>=0.7)
18,1,119,32,41,35.092,0.003693500504261967,1.1612437665958797e-4,0.4,partial only,relief,moderate (0.4-0.7)
1+2+5+25+26,5,66,25,34,34.695,0.0036517154905781647,1.1481064767480922e-4,1,complete,"fear, surprise",strong (>=0.7)
4+12+25+26,4,55,22,26,34.489,0.003630033594308987,1.1412896462477287e-4,0.75,complete,"desire, relief",strong (>=0.7)
20,1,104,33,47,33.547,0.003530886282243138,1.1101175378431545e-4,0.6666666666666666,complete,fear,moderate (0.4-0.7)
1,1,68,30,35,32.103,0.003378902504511625,1.0623335415202192e-4,0.6666666666666666,complete,sadness,moderate (0.4-0.7)
4+14,2,67,22,25,31.735,0.003340169796613289,1.0501559025681137e-4,0.8,complete,contempt,strong (>=0.7)
12+17,2,54,21,25,29.507,0.0031056685107505376,9.764282406515624e-5,0.6666666666666666,complete,"contentment, happiness",moderate (0.4-0.7)
5+12,2,43,17,19,28.376,0.002986628585117337,9.390018557199557e-5,0.6666666666666666,complete,"contentment, happiness",moderate (0.4-0.7)
17+23,2,68,24,31,28.342,0.002983050019713686,9.378767477732938e-5,0.6666666666666666,complete,anger,moderate (0.4-0.7)
4+17,2,62,27,33,26.808,0.002821593568854862,8.871145245327238e-5,1,partial only,shame,strong (>=0.7)
19+25+26,3,63,26,31,22.498,0.00236795777798033,7.444905465882283e-5,1,partial only,desire,strong (>=0.7)
4+15,2,38,18,22,22.159,0.0023322773758674606,7.33272558531805e-5,1,complete,sadness,strong (>=0.7)
7,1,27,11,11,21.991,0.0023145950526964813,7.277132016188873e-5,0.6666666666666666,complete,"anger, confusion, pride",moderate (0.4-0.7)
6,1,29,13,17,19.198,0.002020626429978948,6.352888929416307e-5,0.6666666666666666,complete,"happiness, sadness",moderate (0.4-0.7)
1+4,2,37,16,19,19.026,0.0020025230991134214,6.295971703879292e-5,0.8,complete,sadness,strong (>=0.7)
4+20+25,3,50,19,26,17.396,0.0018309624635854662,5.756581717685491e-5,0.8571428571428571,complete,fear,strong (>=0.7)
4+14+17,3,31,12,15,16.348,0.0017206584476141182,5.409783738832054e-5,0.8,partial only,shame,strong (>=0.7)
1+2+5+25,4,30,15,19,16.232,0.0017084492244722515,5.371397703004765e-5,1,complete,fear,strong (>=0.7)
4+17+23,3,25,12,14,15.563,0.0016380356875592443,5.1500161687939355e-5,0.8571428571428571,complete,anger,strong (>=0.7)
4+18,2,45,18,21,15.556000000000001,0.0016372989240937867,5.14769977008022e-5,0.6666666666666666,partial only,sadness,moderate (0.4-0.7)
1+2+18+25,4,40,18,23,15.175,0.0015971979411881726,5.021621497233694e-5,0.75,complete,"fear, surprise",strong (>=0.7)
4+20,2,40,17,22,14.573,0.0015338362831588295,4.8224112078541426e-5,0.6666666666666666,complete,"fear, sadness",moderate (0.4-0.7)
4+18+25,3,39,18,20,14.33,0.0015082600657150916,4.7419990810780116e-5,0.6666666666666666,complete,contempt,moderate (0.4-0.7)
20+25+26,3,40,19,20,14.168000000000001,0.001491209254085933,4.6883909965605916e-5,0.8571428571428571,complete,fear,strong (>=0.7)
1+25,2,33,14,16,13.865,0.0014593179212239876,4.588124023666897e-5,0.6666666666666666,complete,"fear, sadness, surprise",moderate (0.4-0.7)
1+2+18,3,35,17,20,13.843,0.0014570023789039785,4.5808439134237904e-5,0.6666666666666666,complete,"fear, interest, surprise",moderate (0.4-0.7)
1+2+17,3,37,21,25,13.346,0.0014046921728564977,4.416379604749975e-5,0.6666666666666666,complete,"fear, interest, sadness, surprise, sympathy",moderate (0.4-0.7)
10+25,2,28,13,15,13.289,0.001398692813209201,4.39751750093829e-5,1,complete,disgust,strong (>=0.7)
4+12+17,3,12,8,8,13.116999999999999,0.0013805894823436743,4.3406002754012754e-5,0.8,partial only,shame,strong (>=0.7)
1+2+14,3,32,18,20,13.079,0.0013765899092454768,4.328025539526819e-5,0.6666666666666666,complete,"fear, interest, surprise",moderate (0.4-0.7)
4+17+24,3,27,15,17,12.906,0.0013583813264563135,4.2707773998878454e-5,0.8571428571428571,complete,anger,strong (>=0.7)
1+2+12+17,4,25,10,11,12.88,0.001355644776441757,4.262173633236901e-5,0.8571428571428571,complete,interest,strong (>=0.7)
15+25,2,30,13,14,12.542,0.0013200696262525246,4.150324666774628e-5,0.8,complete,sadness,strong (>=0.7)
12+24,2,28,15,17,12.533,0.0013191223589397935,4.1473464398569934e-5,0.6666666666666666,complete,"contentment, happiness",moderate (0.4-0.7)
1+2+20,3,29,10,13,12.365,0.0013014400357688142,4.091752870727817e-5,0.75,complete,fear,strong (>=0.7)
17+18,2,33,18,18,12.097,0.0012732325202341563,4.003067891402701e-5,0.5,complete,"disgust, sadness, shame",moderate (0.4-0.7)
5+12+25+26,4,24,12,14,11.822000000000001,0.0012442882412340413,3.91206651336387e-5,0.8,partial only,awe,strong (>=0.7)
1+2+20+25,4,34,18,18,11.81,0.0012430252181504,3.908095544140357e-5,0.8888888888888888,complete,fear,strong (>=0.7)
4+7+23,3,3,1,1,11.696,0.0012310264988558066,3.870371336516987e-5,1,complete,anger,strong (>=0.7)
10,1,25,13,14,11.246,0.0011836631332192546,3.721459990635263e-5,1,complete,disgust,strong (>=0.7)
16+25,2,13,5,5,11.045,0.0011625074965682612,3.654946256141426e-5,0.8,complete,disgust,strong (>=0.7)
5+25+26,3,28,15,15,10.838,0.0011407203483754472,3.586447037035833e-5,0.8571428571428571,complete,fear,strong (>=0.7)
9+12+25+26,4,16,10,10,10.67,0.0011230380252044679,3.530853467906656e-5,0.8571428571428571,complete,disgust,strong (>=0.7)
9+25,2,21,11,11,10.093,0.0010623076652660445,3.33991603107609e-5,1,complete,disgust,strong (>=0.7)
18+25+26,3,40,19,23,9.752,0.0010264167593059018,3.2270743223079395e-5,0.8571428571428571,partial only,relief,strong (>=0.7)
8+12,2,15,2,2,9.616,0.0010121024976912994,3.1820700044414625e-5,0.6666666666666666,complete,"contentment, happiness",moderate (0.4-0.7)
12+19+25+26,4,31,13,16,9.474,9.971567245348762e-4,3.1350802019632296e-5,0.8571428571428571,partial only,desire,strong (>=0.7)
22+25,2,23,11,13,9.277,9.764220955784301e-4,3.06989012387723e-5,0.5,complete,"anger, disgust, happiness, sympathy",moderate (0.4-0.7)
9+25+26,3,26,13,14,9.171,9.652653916729312e-4,3.0348132290695354e-5,1,complete,disgust,strong (>=0.7)
1+17,2,19,8,9,8.939,9.408469453891977e-4,2.958041157414958e-5,0.8,complete,"sadness, sympathy",strong (>=0.7)
2+12,2,11,9,9,8.802999999999999,9.265326837745952e-4,2.913036839548481e-5,0.8,complete,interest,strong (>=0.7)
23+25,2,15,6,9,8.733,9.191650491200206e-4,2.8898728524113242e-5,0.6666666666666666,complete,anger,moderate (0.4-0.7)
6+12+19+25+26,5,13,10,10,8.393,8.833793950835145e-4,2.7773620577451328e-5,0.8,complete,"amusement, coyness, happiness, triumph",strong (>=0.7)
1+2+20+25+26,5,22,15,16,8.257,8.690651334689121e-4,2.732357739878656e-5,0.9090909090909091,complete,fear,strong (>=0.7)
12+20+25,3,15,12,13,8.087,8.511723064506591e-4,2.6761023425455603e-5,0.8,complete,happiness,strong (>=0.7)
1+2+5+18,4,13,10,10,8.084999999999999,8.509618026033855e-4,2.6754405143416413e-5,0.8571428571428571,complete,"fear, surprise",strong (>=0.7)
10+12+17+19+25+26,6,1,1,1,8.058,8.481200006651924e-4,2.666505833588738e-5,0.6666666666666666,complete,"desire, disgust",moderate (0.4-0.7)
9,1,20,14,14,7.646,8.04756208126838e-4,2.5301692235814708e-5,1,complete,disgust,strong (>=0.7)
1+2+5+12+25,5,17,11,12,7.303,7.686547983194217e-4,2.416665686609401e-5,0.9090909090909091,partial only,awe,strong (>=0.7)
1+4+15,3,14,9,9,7.268,7.649709809921343e-4,2.4050836930408225e-5,1,complete,sadness,strong (>=0.7)
1+2+24,3,24,15,18,7.166,7.542352847811826e-4,2.3713304546409655e-5,0.6666666666666666,complete,"fear, interest, surprise, sympathy",moderate (0.4-0.7)
4+7,2,13,9,9,7.068,7.439205962647778e-4,2.338900872648945e-5,1,complete,"anger, confusion",strong (>=0.7)
1+2+23,3,16,10,11,7.064,7.434995885702308e-4,2.3375772162411077e-5,0.6666666666666666,complete,"fear, interest, surprise",moderate (0.4-0.7)
1+12,2,17,11,11,6.996,7.363424577629295e-4,2.3150750573078696e-5,0.8,complete,interest,strong (>=0.7)
5+25,2,16,12,14,6.932,7.296063346501755e-4,2.2938965547824687e-5,0.8,complete,fear,strong (>=0.7)
15+17,2,15,11,12,6.861,7.221334480719639e-4,2.2704016535433523e-5,0.8,complete,sadness,strong (>=0.7)
1+4+25+26,4,10,6,7,6.792,7.148710653410258e-4,2.2475685805081545e-5,0.8888888888888888,complete,"fear, sadness",strong (>=0.7)
6+24,2,10,2,2,6.76,7.115030037846489e-4,2.2369793292454542e-5,0.5,complete,"happiness, sadness",moderate (0.4-0.7)
4+17+18,3,9,5,5,6.754,7.108714922428282e-4,2.2349938446336976e-5,0.8,partial only,shame,strong (>=0.7)
22,1,13,9,10,6.56,6.904526190572923e-4,2.1707965088535767e-5,0.3333333333333333,complete,anger,weak (0.2-0.4)
4+16+25,3,10,8,8,6.5280000000000005,6.870845575009154e-4,2.1602072575908768e-5,0.6666666666666666,complete,"contempt, disgust",moderate (0.4-0.7)
4+12+20+25,4,7,4,5,6.389,6.724545401154027e-4,2.114210197418522e-5,0.75,complete,fear,strong (>=0.7)
10+25+26,3,18,12,14,6.3870000000000005,6.722440362681291e-4,2.1135483692146032e-5,1,complete,disgust,strong (>=0.7)
1+2+15,3,17,9,12,6.381,6.716125247263083e-4,2.1115628846028466e-5,0.8,complete,sadness,strong (>=0.7)
1+4+25,3,13,10,10,6.285,6.615083400571773e-4,2.0797951308147455e-5,0.8571428571428571,complete,"fear, sadness",strong (>=0.7)
4+6+12,3,10,6,6,6.255,6.583507823480737e-4,2.069867707755964e-5,0.8,complete,happiness,strong (>=0.7)
12+17+25+26,4,8,5,5,6.253,6.581402785008002e-4,2.0692058795520452e-5,0.75,complete,"desire, relief, sadness",strong (>=0.7)
1+20+25,3,16,10,11,6.181,6.505621399989519e-4,2.0453800642109694e-5,0.8571428571428571,complete,fear,strong (>=0.7)
17+33,2,7,3,3,5.947,6.259331898679448e-4,1.9679461643524727e-5,0.5,complete,"disgust, sadness, shame",moderate (0.4-0.7)
2,1,21,16,16,5.914,6.22459876387931e-4,1.9570259989878128e-5,0.5,complete,"fear, interest, surprise",moderate (0.4-0.7)
4+5,2,9,7,7,5.914,6.22459876387931e-4,1.9570259989878128e-5,0.8,complete,anger,strong (>=0.7)
1+2+5+18+25+26,6,11,5,7,5.843,6.149869898097194e-4,1.9335310977486967e-5,0.9090909090909091,complete,"fear, surprise",strong (>=0.7)
1+2+10,3,7,6,6,5.745,6.046723012933147e-4,1.9011015157566765e-5,0.6666666666666666,complete,"fear, interest, surprise",moderate (0.4-0.7)
17+19+25+26,4,19,11,12,5.741,6.042512935987676e-4,1.899777859348839e-5,0.8571428571428571,partial only,desire,strong (>=0.7)
7+12,2,7,5,5,5.4399999999999995,5.72570464584096e-4,1.8001727146590637e-5,1,partial only,pride,strong (>=0.7)
1+24,2,9,6,6,5.265,5.541513779476592e-4,1.742262746816171e-5,0.8,partial only,sympathy,strong (>=0.7)
1+2+15+25,4,8,6,6,5.199,5.472047509876316e-4,1.7204224160868514e-5,0.75,complete,"fear, sadness, surprise",strong (>=0.7)
1+2+14+17,4,12,6,7,5.164,5.435209336603442e-4,1.7088404225182728e-5,0.5714285714285714,complete,"fear, interest, sadness, surprise, sympathy",moderate (0.4-0.7)
1+2+5+18+25,5,9,8,8,5.128,5.3973186440942e-4,1.6969275148477353e-5,0.8888888888888888,complete,fear,strong (>=0.7)
1+12+25,3,15,5,6,5.083,5.349955278457648e-4,1.6820363802595628e-5,0.8,complete,happiness,strong (>=0.7)
4+6+12+17,4,4,3,3,5.031,5.295224278166522e-4,1.6648288469576745e-5,0.75,complete,sadness,strong (>=0.7)
1+15,2,13,9,9,4.855,5.109980892565785e-4,1.6065879650128227e-5,1,complete,sadness,strong (>=0.7)
17+25+26+32,4,10,8,9,4.758,5.007886526638105e-4,1.574489297122762e-5,0.75,complete,sadness,strong (>=0.7)
4+22+25,3,11,7,7,4.756,5.00578148816537e-4,1.5738274689188432e-5,0.6666666666666666,complete,"anger, contempt",moderate (0.4-0.7)
12+17+20,3,1,1,1,4.726,4.974205911074336e-4,1.5639000458600616e-5,0.5,complete,"contentment, happiness",moderate (0.4-0.7)
1+25+26,3,12,8,8,4.721,4.968943314892496e-4,1.5622454753502647e-5,0.8571428571428571,complete,surprise,strong (>=0.7)
1+2+12+19+25+26,6,7,5,5,4.5200000000000005,4.757386948382564e-4,1.495731740856428e-5,0.8333333333333334,partial only,awe,strong (>=0.7)
1+18,2,11,6,6,4.516,4.7531768714370923e-4,1.4944080844485904e-5,0.5,complete,sadness,moderate (0.4-0.7)
1+2+5+17,4,11,7,7,4.482,4.717391217400586e-4,1.4831570049819713e-5,0.8571428571428571,complete,"fear, surprise",strong (>=0.7)
5+12+25,3,10,8,8,4.3469999999999995,4.575301120490929e-4,1.4384836012174538e-5,0.8,complete,happiness,strong (>=0.7)
4+6,2,8,6,6,4.316,4.542673024163527e-4,1.428225264056713e-5,0.8,complete,sadness,strong (>=0.7)
4+19+25+26,4,16,10,11,4.212,4.4332110235812734e-4,1.3938101974529367e-5,0.8571428571428571,partial only,desire,strong (>=0.7)
4+10+25+26,4,9,6,6,4.181,4.400582927253871e-4,1.383551860292196e-5,0.8571428571428571,complete,disgust,strong (>=0.7)
12+20+25+26,4,11,9,10,3.94,4.1469257912892253e-4,1.3038015617199836e-5,0.75,complete,"desire, fear, relief",strong (>=0.7)
1+2+5+24,4,12,7,8,3.937,4.143768233580122e-4,1.3028088194141055e-5,0.8571428571428571,complete,"fear, surprise",strong (>=0.7)
1+2+5+14,4,9,7,7,3.936,4.142715714343754e-4,1.3024779053121461e-5,0.8571428571428571,complete,"fear, surprise",strong (>=0.7)
5+19+25+26,4,4,3,3,3.9090000000000003,4.114297694961823e-4,1.2935432245592428e-5,0.8571428571428571,partial only,desire,strong (>=0.7)
25+26+32,3,6,3,3,3.842,4.043778906125179e-4,1.2713719797279638e-5,0.8,partial only,sympathy,strong (>=0.7)
2+12+25,3,6,2,2,3.839,4.0406213484160756e-4,1.2703792374220855e-5,0.8,complete,happiness,strong (>=0.7)
4+15+25,3,9,6,6,3.838,4.0395688291797074e-4,1.2700483233201262e-5,0.8571428571428571,complete,sadness,strong (>=0.7)
1+2+19+25+26,5,14,9,10,3.802,4.001678136670466e-4,1.2581354156495883e-5,0.8888888888888888,complete,surprise,strong (>=0.7)
4+12+16+25,4,3,3,3,3.7729999999999997,3.9711550788157986e-4,1.248538906692766e-5,0.6666666666666666,complete,happiness,moderate (0.4-0.7)
5+23,2,9,6,6,3.737,3.9332643863065577e-4,1.2366259990222281e-5,0.8,complete,anger,strong (>=0.7)
1+2+5+20,4,11,8,9,3.736,3.9322118670701895e-4,1.2362950849202688e-5,0.8888888888888888,complete,fear,strong (>=0.7)
1+2+8+25+26,5,9,8,8,3.7350000000000003,3.931159347833822e-4,1.2359641708183095e-5,0.8888888888888888,complete,surprise,strong (>=0.7)
1+2+5+25+27,5,8,4,4,3.705,3.8995837707427874e-4,1.2260367477595279e-5,1,complete,"fear, surprise",strong (>=0.7)
25+26+36,3,7,7,7,3.603,3.7922268086332695e-4,1.1922835093596705e-5,0.8,partial only,sympathy,strong (>=0.7)
5+20,2,7,4,5,3.536,3.721708019796625e-4,1.1701122645283915e-5,1,complete,fear,strong (>=0.7)
1+4+6+12+25+26,6,6,2,2,3.535,3.720655500560257e-4,1.1697813504264322e-5,0.7272727272727273,complete,"amusement, coyness, fear, happiness, sadness, triumph",strong (>=0.7)
17+24+34,3,6,2,2,3.535,3.720655500560257e-4,1.1697813504264322e-5,0.6666666666666666,partial only,sympathy,moderate (0.4-0.7)
4+7+25,3,5,4,4,3.5340000000000003,3.7196029813238896e-4,1.1694504363244727e-5,0.8571428571428571,complete,anger,strong (>=0.7)
6+9+12+25+26,5,7,4,4,3.533,3.7185504620875214e-4,1.1691195222225132e-5,0.8,complete,"amusement, coyness, happiness, triumph",strong (>=0.7)
24+26,2,14,6,6,3.529,3.71434038514205e-4,1.1677958658146757e-5,0.5,complete,"disgust, surprise, sympathy",moderate (0.4-0.7)
8+25+26,3,25,12,12,3.4890000000000003,3.672239615687337e-4,1.1545593017363004e-5,0.8,partial only,sympathy,strong (>=0.7)
1+4+12+25+26,5,5,3,3,3.433,3.613298538450739e-4,1.1360281120265746e-5,0.8,complete,"fear, sadness",strong (>=0.7)
1+2+18+25+26,5,11,7,8,3.43,3.610140980741636e-4,1.1350353697206965e-5,0.8888888888888888,complete,surprise,strong (>=0.7)
12+25+26+32,4,5,3,3,3.399,3.577512884414233e-4,1.1247770325599555e-5,0.75,complete,"desire, relief",strong (>=0.7)
2+6+12+25+26,5,1,1,1,3.366,3.5427797496140947e-4,1.1138568671952958e-5,0.8,complete,"amusement, coyness, happiness, triumph",strong (>=0.7)
1+2+17+24,4,8,8,8,3.33,3.504889057104853e-4,1.1019439595247577e-5,0.8571428571428571,partial only,sympathy,strong (>=0.7)
6+25+26,3,6,4,5,3.2969999999999997,3.470155922304715e-4,1.091023794160098e-5,0.8571428571428571,complete,sadness,strong (>=0.7)
1+4+20+25,4,5,5,5,3.294,3.4669983645956113e-4,1.0900310518542198e-5,1,complete,fear,strong (>=0.7)
4+12+20+25+26,5,5,4,5,3.227,3.396479575758967e-4,1.0678598070229408e-5,0.8,complete,fear,strong (>=0.7)
1+17+24,3,9,5,5,3.227,3.396479575758967e-4,1.0678598070229408e-5,1,partial only,sympathy,strong (>=0.7)
4+10,2,5,4,4,3.194,3.361746440958829e-4,1.0569396416582811e-5,0.6666666666666666,complete,"anger, disgust, sadness",moderate (0.4-0.7)
5+17,2,8,7,8,3.192,3.3596414024860934e-4,1.0562778134543624e-5,0.6666666666666666,complete,anger,moderate (0.4-0.7)
12+16+25,3,9,7,7,3.181,3.348063690886047e-4,1.052637758332809e-5,0.8,complete,happiness,strong (>=0.7)
4+6+17+18,4,1,1,1,3.128,3.292280171358553e-4,1.0350993109289617e-5,0.75,complete,sadness,strong (>=0.7)
1+14,2,9,7,7,3.1270000000000002,3.291227652122185e-4,1.0347683968270023e-5,0.5,complete,"contempt, sadness",moderate (0.4-0.7)
4+6+12+25+26,5,12,6,6,3.094,3.2564945173220466e-4,1.0238482314623425e-5,0.8,complete,"amusement, coyness, happiness, triumph",strong (>=0.7)
4+12+20,3,4,3,3,3.092,3.2543894788493113e-4,1.0231864032584237e-5,0.5714285714285714,complete,fear,moderate (0.4-0.7)
17+20,2,9,7,8,3.024,3.182818170776299e-4,1.0006842443251854e-5,0.5,complete,"disgust, fear, sadness, shame",moderate (0.4-0.7)
1+4+20,3,7,5,6,3.021,3.1796606130671956e-4,9.996915020193072e-6,0.8571428571428571,complete,fear,strong (>=0.7)
6+12+17,3,4,4,4,2.99,3.1470325167397934e-4,9.894331648585663e-6,0.8,complete,happiness,strong (>=0.7)
1+4+12,3,6,5,6,2.989,3.145979997503425e-4,9.891022507566068e-6,0.6666666666666666,complete,"interest, sadness",moderate (0.4-0.7)
1+2+5+20+25+26,6,6,6,6,2.968,3.123877093539701e-4,9.821530546154597e-6,0.9230769230769231,complete,fear,strong (>=0.7)
4+24+26,3,9,2,2,2.951,3.105984266521448e-4,9.765275148821503e-6,0.6666666666666666,complete,anger,moderate (0.4-0.7)
4+6+25,3,5,5,5,2.923,3.076513727903149e-4,9.672619200272873e-6,0.75,partial only,pain,strong (>=0.7)
1+2+4,3,6,5,6,2.822,2.9702092850299985e-4,9.338395957293894e-6,0.8571428571428571,complete,fear,strong (>=0.7)
6+12+20+25+26,5,6,3,3,2.8209999999999997,2.9691567657936304e-4,9.335086816274297e-6,0.8,complete,"amusement, coyness, happiness, triumph",strong (>=0.7)
4+12+19+25+26,5,6,4,4,2.7520000000000002,2.896532938484251e-4,9.106756085922323e-6,0.75,partial only,desire,strong (>=0.7)
1+17+18,3,5,3,3,2.751,2.895480419247883e-4,9.103446944902728e-6,0.6666666666666666,complete,"sadness, sympathy",moderate (0.4-0.7)
1+2+6+12,4,6,5,5,2.72,2.8628523229204807e-4,9.000863573295318e-6,0.8571428571428571,complete,interest,strong (>=0.7)
13,1,4,4,4,2.7199999999999998,2.86285232292048e-4,9.000863573295318e-6,0,NA,NA,none (<0.2)
4+25+27,3,2,2,2,2.7199999999999998,2.86285232292048e-4,9.000863573295318e-6,0.8,partial only,sympathy,strong (>=0.7)
4+7+17,3,4,3,3,2.618,2.755495360810963e-4,8.663331189296745e-6,0.8571428571428571,complete,anger,strong (>=0.7)
1+2+14+17+24,5,1,1,1,2.618,2.755495360810963e-4,8.663331189296745e-6,0.75,partial only,sympathy,strong (>=0.7)
17+32,2,4,3,4,2.616,2.753390322338227e-4,8.656712907257556e-6,0.5,complete,"disgust, sadness, shame",moderate (0.4-0.7)
4+10+25,3,7,3,3,2.616,2.753390322338227e-4,8.656712907257556e-6,0.8,complete,disgust,strong (>=0.7)
5+8+12,3,5,2,2,2.614,2.751285283865491e-4,8.650094625218368e-6,0.5,complete,"contentment, happiness",moderate (0.4-0.7)
1+20,2,7,6,7,2.58,2.7154996298289855e-4,8.537583830552178e-6,0.6666666666666666,complete,fear,moderate (0.4-0.7)
1+2+5+19+25+26,6,3,3,3,2.549,2.682871533501583e-4,8.435000458944766e-6,0.9090909090909091,complete,"fear, surprise",strong (>=0.7)
14+25,2,11,7,7,2.547,2.680766495028847e-4,8.42838217690558e-6,0.8,complete,contempt,strong (>=0.7)
2+5+12,3,4,3,3,2.513,2.644980840992341e-4,8.315871382239388e-6,0.6666666666666666,complete,"awe, fear, interest, surprise",moderate (0.4-0.7)
12+17+25,3,5,4,5,2.481,2.6113002254285706e-4,8.209978869612383e-6,0.8,complete,happiness,strong (>=0.7)
7+14,2,5,3,3,2.479,2.6091951869558353e-4,8.203360587573197e-6,0.5,complete,"anger, confusion, contempt, pride",moderate (0.4-0.7)
1+2+12+20+25,5,5,4,4,2.479,2.6091951869558353e-4,8.203360587573197e-6,0.8,complete,fear,strong (>=0.7)
17+25+32,3,2,2,2,2.448,2.5765670906284326e-4,8.100777215965787e-6,0.6666666666666666,complete,sadness,moderate (0.4-0.7)
1+2+6+12+25+26,6,6,4,4,2.446,2.5744620521556973e-4,8.0941589339266e-6,0.8333333333333334,partial only,awe,strong (>=0.7)
4+10+17,3,1,1,1,2.414,2.540781436591927e-4,7.988266421299595e-6,0.8571428571428571,complete,disgust,strong (>=0.7)
5+18+25,3,5,5,5,2.412,2.5386763981191906e-4,7.981648139260407e-6,0.6666666666666666,complete,fear,moderate (0.4-0.7)
6+12+24,3,10,5,6,2.411,2.537623878882823e-4,7.978338998240814e-6,0.8,complete,happiness,strong (>=0.7)
14+24,2,3,3,3,2.346,2.4692101285189147e-4,7.763244831967212e-6,0.5,complete,contempt,moderate (0.4-0.7)
1+14+17,3,4,3,3,2.3440000000000003,2.4671050900461794e-4,7.756626549928025e-6,0.6666666666666666,complete,"sadness, sympathy",moderate (0.4-0.7)
7+12+25,3,5,4,4,2.311,2.4323719552460406e-4,7.647424896281426e-6,0.8571428571428571,complete,"coyness, desire, embarrassment",strong (>=0.7)
1+2+4+12,4,5,5,5,2.31,2.431319436009673e-4,7.644115755261833e-6,0.8571428571428571,complete,interest,strong (>=0.7)
