occ,n_aus,n_subjects,n_events,duration,session_pct,fullface_pct,proto,cluster
1+2+6+12+25+26,6,4,6,2.446,8.0941589339266e-6,2.5744620521556973e-4,,C
4+10+17,3,1,1,2.414,7.988266421299595e-6,2.540781436591927e-4,,A
5+18+25,3,5,5,2.412,7.981648139260407e-6,2.5386763981191906e-4,,A
6+12+24,3,5,10,2.411,7.978338998240814e-6,2.537623878882823e-4,,NA
14+24,2,3,3,2.346,7.763244831967212e-6,2.4692101285189147e-4,,NA
1+14+17,3,3,4,2.3440000000000003,7.756626549928025e-6,2.4671050900461794e-4,,NA
7+12+25,3,4,5,2.311,7.647424896281426e-6,2.4323719552460406e-4,,A
1+2+4+12,4,5,5,2.31,7.644115755261833e-6,2.431319436009673e-4,,C
1+5+17,3,2,3,2.277,7.534914101615236e-6,2.3965863012095348e-4,,A
1+2+5+8+12,5,2,4,2.275,7.528295819576047e-6,2.394481262736799e-4,,NA
9+12,2,5,5,2.243,7.422403306949044e-6,2.3608006471730286e-4,,NA
5+24,2,6,7,2.206,7.299965089224071e-6,2.3218574354274193e-4,,NA
4+12+14,3,2,2,2.175,7.197381717616661e-6,2.2892293391000166e-4,,NA
1+2+17+18,4,4,5,2.174,7.194072576597067e-6,2.2881768198636487e-4,,C
4+15+17,3,6,7,2.173,7.1907634355774735e-6,2.287124300627281e-4,du2014_sadness_5,NA
1+12+25+26,4,8,9,2.169,7.177526871499098e-6,2.2829142236818097e-4,,B
1+2+5+8+25+26,6,4,4,2.14,7.081561781930876e-6,2.252391165827143e-4,,NA
1+2+34,3,1,1,2.108,6.9756692693038724e-06,2.2187105502633725e-4,,NA
2+25,2,5,5,2.108,6.9756692693038724e-06,2.2187105502633725e-4,,C
4+5+25,3,3,3,2.106,6.9690509872646835e-6,2.2166055117906367e-4,,A
1+2+5+12+25+27,6,2,3,2.074,6.86315847463768e-6,2.1829248962268664e-4,cordaro2018_awe_2,NA
1+2+17+23,4,6,6,2.073,6.859849333618087e-6,2.1818723769904987e-4,,NA
6+25,2,6,6,2.072,6.856540192598493e-6,2.1808198577541308e-4,,A
4+20+25+26,4,7,9,2.069,6.846612769539711e-6,2.1776623000450274e-4,,A
1+2+5+12+17,5,2,3,2.039,6.747338538951895e-6,2.1460867229539929e-4,,C
1+4+17,3,4,6,2.038,6.7440293979323e-6,2.1450342037176247e-4,,A
7+25,2,3,5,2.0060000000000002,6.6381368853052985e-6,2.1113535881538546e-4,,A
